s3_zip_name	s3_zip_size
flight_10_17/flight_10_17_price_2017-06-24.zip	14525819
flight_10_17/flight_10_17_price_2017-06-26.zip	14241941
flight_10_17/flight_10_17_price_2017-06-28.zip	13335966
flight_10_17/flight_10_17_price_2017-06-30.zip	9291
flight_10_18/flight_10_18_price_2017-05-15.zip	14975777
flight_10_18/flight_10_18_price_2017-05-16.zip	14976815
flight_10_18/flight_10_18_price_2017-05-17.zip	14975960
flight_10_18/flight_10_18_price_2017-05-18.zip	14998334
flight_10_18/flight_10_18_price_2017-05-19.zip	14563062
flight_10_18/flight_10_18_price_2017-05-20.zip	14813273
flight_10_18/flight_10_18_price_2017-05-21.zip	14834808
flight_10_18/flight_10_18_price_2017-05-22.zip	14827246
flight_10_18/flight_10_18_price_2017-05-23.zip	14623387
flight_10_18/flight_10_18_price_2017-05-24.zip	14741484
flight_10_18/flight_10_18_price_2017-05-25.zip	14896012
flight_10_18/flight_10_18_price_2017-05-26.zip	14649211
flight_10_18/flight_10_18_price_2017-05-27.zip	14849623
flight_10_18/flight_10_18_price_2017-05-28.zip	14881136
flight_10_18/flight_10_18_price_2017-05-29.zip	14820367
flight_10_18/flight_10_18_price_2017-05-30.zip	14752865
flight_10_18/flight_10_18_price_2017-05-31.zip	14839560
flight_10_18/flight_10_18_price_2017-06-01.zip	14690457
flight_10_18/flight_10_18_price_2017-06-02.zip	14907811
flight_10_18/flight_10_18_price_2017-06-03.zip	14710257
flight_10_18/flight_10_18_price_2017-06-04.zip	14734318
flight_10_18/flight_10_18_price_2017-06-05.zip	14714613
flight_10_18/flight_10_18_price_2017-06-06.zip	15044634
flight_10_18/flight_10_18_price_2017-06-07.zip	14779719
flight_10_18/flight_10_18_price_2017-06-08.zip	14462861
flight_10_18/flight_10_18_price_2017-06-09.zip	14243250
flight_10_18/flight_10_18_price_2017-06-10.zip	14465887
flight_10_18/flight_10_18_price_2017-06-11.zip	14246965
flight_10_18/flight_10_18_price_2017-06-12.zip	14466108
flight_10_18/flight_10_18_price_2017-06-13.zip	14504685
flight_10_18/flight_10_18_price_2017-06-14.zip	14532565
flight_10_18/flight_10_18_price_2017-06-15.zip	14441521
flight_10_18/flight_10_18_price_2017-06-16.zip	14522664
flight_10_18/flight_10_18_price_2017-06-17.zip	14433644
flight_10_18/flight_10_18_price_2017-06-18.zip	14602928
flight_10_18/flight_10_18_price_2017-06-19.zip	14286204
flight_10_18/flight_10_18_price_2017-06-20.zip	13572993
flight_10_18/flight_10_18_price_2017-06-21.zip	13110664
flight_10_18/flight_10_18_price_2017-06-22.zip	13928072
flight_10_18/flight_10_18_price_2017-06-24.zip	14123090
flight_10_18/flight_10_18_price_2017-06-26.zip	13910313
flight_10_18/flight_10_18_price_2017-06-28.zip	13808259
flight_10_18/flight_10_18_price_2017-06-30.zip	14214
flight_10_19/flight_10_19_price_2017-05-15.zip	13953935
flight_10_19/flight_10_19_price_2017-05-16.zip	13939359
flight_10_19/flight_10_19_price_2017-05-17.zip	13953042
flight_10_19/flight_10_19_price_2017-05-18.zip	14020201
flight_10_19/flight_10_19_price_2017-05-19.zip	14032109
flight_10_19/flight_10_19_price_2017-05-20.zip	13992765
flight_10_19/flight_10_19_price_2017-05-21.zip	13995159
flight_10_19/flight_10_19_price_2017-05-22.zip	14044187
flight_10_19/flight_10_19_price_2017-05-23.zip	14066682
flight_10_19/flight_10_19_price_2017-05-24.zip	14143544
flight_10_19/flight_10_19_price_2017-05-25.zip	14085455
flight_10_19/flight_10_19_price_2017-05-26.zip	14099252
flight_10_19/flight_10_19_price_2017-05-27.zip	14017667
