12-05 11:31:03.768 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:03.768 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.38 GB + FREE:929.5 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:03.934 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.7 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:04.105 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:04.277 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.5 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:04.449 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:04.614 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:04.777 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.4 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:06.460 172.17.0.2:54321      253    #read-474 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:06.460 172.17.0.2:54321      253    #read-459 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:06.460 172.17.0.2:54321      253    #read-470 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:06.460 172.17.0.2:54321      253    #e Thread WARN: Swapping!  GC CALLBACK, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:06.460 172.17.0.2:54321      253    #read-475 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:06.642 172.17.0.2:54321      253    #read-467 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:07.661 172.17.0.2:54321      253    #read-474 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:08.337 172.17.0.2:54321      253    #read-467 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.7 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:07.661 172.17.0.2:54321      253    #read-459 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.8 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
12-05 11:31:08.674 172.17.0.2:54321      253    #read-474 WARN: Swapping!  OOM, (K/V:1.83 GB + POJO:4.37 GB + FREE:930.7 MB == MEM_MAX:7.11 GB), desiredKV=910.3 MB OOM!
